央视频道,#genre#
CCTV1,http://183.223.157.33:9901//tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://183.223.157.33:9901//tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://183.223.157.33:9901//tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4国际,http://183.223.157.33:9901//tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.223.157.33:9901//tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://183.223.157.33:9901//tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://183.223.157.33:9901//tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7军事,http://183.223.157.33:9901//tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
其他频道,#genre#
四川经济,http://183.223.157.33:9901//tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://183.223.157.33:9901//tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
四川文旅,http://183.223.157.33:9901//tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
峨眉电影,http://183.223.157.33:9901//tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
四川科教,http://183.223.157.33:9901//tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
四川新闻,http://183.223.157.33:9901//tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
